Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,changed_profession,Risk_Flag
3426695,73,4,1,2,0,24,25,4,14,0,0
7643432,66,17,1,2,0,31,11,8,13,1,0
1731174,36,2,1,2,1,31,25,2,10,0,0
9491436,23,17,1,2,1,50,20,12,10,1,0
5671193,30,20,1,2,0,46,25,11,14,1,0
7767858,29,0,0,2,0,37,7,0,10,0,0
2838734,58,14,1,2,0,8,13,5,10,1,0
4445947,53,17,1,2,0,49,22,4,14,1,0
912811,32,13,1,2,0,12,0,4,10,1,0
3101312,27,13,1,2,0,27,2,3,14,1,0
1191020,31,15,0,2,1,35,26,5,10,1,0
7585777,33,0,1,2,0,1,27,0,12,0,0
2853298,23,16,1,2,1,17,25,13,11,1,0
389805,25,18,1,2,0,28,25,12,14,1,0
7522788,29,16,1,2,0,24,1,10,12,1,0
5854256,70,2,1,2,0,13,14,2,11,0,0
9317664,62,8,1,2,1,14,25,8,12,0,0
7023630,22,10,0,2,0,31,2,4,11,1,0
5694236,39,2,0,2,1,20,0,2,10,0,0
4359506,75,4,1,0,0,29,25,4,11,0,0
4935105,74,17,1,2,0,35,25,5,10,1,0
152426,27,18,1,2,0,31,5,8,12,1,0
4001896,70,1,1,2,0,28,25,1,14,0,0
2150637,62,18,1,2,1,30,5,10,10,1,0
3942882,77,18,1,2,0,29,14,4,10,1,0
3417372,35,16,1,2,0,16,22,13,10,1,0
5656977,24,1,1,2,1,37,25,1,13,0,0
2506726,54,11,1,2,0,18,14,6,14,1,0
2672719,67,16,1,2,0,50,23,14,10,1,0
9420845,27,3,0,2,0,8,11,3,13,0,0
3716674,47,14,1,2,0,8,2,8,13,1,0
3162404,42,10,1,2,0,2,11,4,10,1,0
7515484,78,15,1,1,1,26,13,6,10,1,0
7173973,77,3,1,2,0,26,22,3,11,0,0
4811867,41,18,0,2,0,11,11,10,10,1,0
6623361,76,3,1,2,0,23,10,3,13,0,0
209067,66,17,1,2,0,21,28,3,12,1,0
5053629,41,14,1,2,0,22,25,10,12,1,0
345702,64,0,1,2,0,16,13,0,11,0,0
9665324,57,11,1,1,0,15,27,7,14,1,0
3605086,59,10,1,2,0,39,25,8,12,1,0
612456,54,16,1,2,0,23,24,9,11,1,0
7829826,58,6,1,2,1,50,23,6,11,0,0
575463,60,12,1,2,1,24,6,11,13,1,0
2202351,27,9,1,2,0,8,14,8,10,1,0
1412296,50,17,1,2,1,33,0,14,10,1,0
529939,48,18,1,2,0,9,25,6,13,1,0
7797664,66,15,1,2,0,37,2,13,11,1,0
8182419,22,6,1,2,0,50,14,6,11,0,0
9237126,25,16,1,1,0,45,0,3,10,1,0
8584821,47,15,1,2,0,0,22,7,10,1,0
5265885,75,4,0,2,0,45,6,4,13,0,0
9766082,28,9,1,2,0,3,28,3,14,1,0
6720927,64,17,1,2,0,50,17,5,12,1,0
897935,75,7,1,2,0,16,23,7,10,0,0
8225744,43,0,0,2,1,48,4,0,11,0,0
5775285,57,6,1,2,0,11,25,6,10,0,0
9949229,56,7,1,2,0,13,6,7,10,0,0
7213058,50,12,1,2,0,3,14,4,12,1,0
4040293,45,20,1,2,0,49,0,11,10,1,0
2286483,22,3,1,2,1,37,6,3,12,0,0
2175522,64,1,1,2,0,31,11,1,13,0,0
3139818,57,20,0,2,0,0,14,3,10,1,0
1051509,54,2,1,2,0,21,13,2,12,0,0
3075503,32,17,1,2,0,32,6,3,13,1,0
8321716,58,10,1,2,0,33,9,4,13,1,0
4006235,74,11,1,2,0,49,2,3,13,1,0
2334618,60,10,1,2,0,26,20,3,11,1,0
8531866,39,12,1,2,1,7,16,4,10,1,0
4647997,42,18,0,2,0,32,17,5,12,1,0
8455363,78,9,1,2,0,25,14,9,11,0,0
3887037,65,11,1,2,0,37,5,6,11,1,0
5844230,44,9,1,2,0,13,20,9,13,0,0
3287483,37,8,1,2,0,17,22,7,13,1,0
9221195,72,12,1,2,0,17,1,12,10,0,0
7804453,77,14,1,2,1,45,25,3,14,1,0
4813364,34,19,1,2,0,40,13,10,11,1,0
9238028,46,19,1,2,0,28,14,3,14,1,0
3268962,23,18,1,2,0,43,6,11,13,1,0
1798025,45,18,1,2,0,44,14,10,12,1,0
7449317,38,4,1,2,1,36,0,4,10,0,0
8282569,62,9,1,2,1,0,27,5,12,1,0
8703835,21,11,1,2,1,1,5,11,12,0,0
1406166,56,8,1,2,1,37,13,8,13,0,0
5795495,34,16,1,2,0,7,21,12,14,1,0
536218,53,8,1,2,0,22,14,3,10,1,0
4939664,61,14,0,2,1,23,2,4,12,1,0
8901342,50,12,1,2,0,30,14,9,14,1,0
2152981,77,14,1,2,1,48,28,11,10,1,0
7862365,49,11,1,2,0,17,10,8,12,1,0
9028969,62,19,1,2,1,29,22,4,10,1,0
8669868,63,10,1,2,0,45,12,6,11,1,0
2829146,63,7,1,2,1,6,2,4,14,1,0
1916815,53,8,1,2,0,38,28,8,14,0,0
9579515,30,19,1,2,1,39,6,12,12,1,0
2408696,26,11,1,2,0,27,25,11,11,0,0
1147932,32,20,1,2,0,26,17,3,14,1,0
8666033,52,1,0,2,0,39,28,1,12,0,0
1246172,63,9,1,2,1,18,22,5,13,1,0
2471915,73,18,1,2,0,9,2,14,13,1,0
7152752,69,9,1,2,1,44,2,9,13,0,0
3475913,37,17,1,2,0,50,28,4,14,1,0
8463555,69,12,1,2,0,48,25,12,12,0,0
4590909,27,14,1,1,0,0,11,8,14,1,0
370760,27,16,1,2,0,46,20,12,10,1,0
2088495,59,20,0,2,0,26,0,11,13,1,0
1850597,55,12,1,0,0,15,0,12,10,0,0
3345583,32,2,1,2,0,33,18,2,14,0,0
4393229,34,11,1,2,1,30,11,9,12,1,0
4423589,33,19,1,2,0,7,14,8,12,1,0
4140213,45,6,1,2,0,25,14,6,14,0,0
2737514,58,14,1,2,0,48,0,13,10,1,0
3097744,57,9,1,2,1,35,14,5,13,1,0
7249301,49,14,1,2,0,3,28,14,12,0,0
9287791,79,4,1,2,1,21,14,4,12,0,0
8448595,32,13,1,1,0,23,13,3,13,1,0
2324056,29,0,1,2,0,17,20,0,10,0,0
3360068,79,2,1,0,0,37,2,2,12,0,0
3098010,77,15,1,2,1,37,23,14,10,1,0
3068887,35,8,1,2,0,25,0,7,10,1,0
8374247,25,20,1,0,0,22,11,4,11,1,0
7770680,38,10,1,2,0,41,22,10,12,0,0
3117744,55,18,1,2,0,25,19,7,12,1,0
5164517,33,17,0,2,0,42,13,6,11,1,0
6600394,66,10,1,2,0,7,18,5,10,1,0
7552857,35,15,1,2,0,7,14,7,10,1,0
9547731,64,15,1,2,1,43,12,11,10,1,0
4167093,77,18,1,1,0,7,25,13,12,1,0
5377559,37,1,1,2,0,12,4,1,11,0,0
1718201,61,13,1,0,1,9,14,6,12,1,0
4167093,77,18,1,1,0,7,25,13,12,1,0
5899830,77,4,1,2,0,47,7,4,14,0,0
3689673,43,11,1,2,0,31,7,11,13,0,0
62100,45,10,1,2,1,26,25,5,13,1,0
6011563,57,1,1,2,1,31,6,1,13,0,0
5160409,31,10,1,2,1,20,22,3,13,1,0
2400228,24,1,1,2,1,49,7,1,12,0,0
3218377,66,15,1,2,0,44,6,7,14,1,0
4939158,65,12,1,2,0,35,0,7,14,1,0
8804178,21,7,1,2,1,37,23,7,10,0,0
552671,76,17,1,2,1,11,13,13,11,1,0
5627580,33,2,1,2,1,25,23,2,13,0,0
4423589,33,19,1,2,0,7,14,8,12,1,0
1820255,50,13,1,2,0,32,28,3,13,1,0
7682385,28,19,1,2,0,12,0,12,13,1,0
2622163,34,8,1,2,1,37,1,4,12,1,0
5712282,59,1,0,2,0,20,25,1,12,0,0
7835117,40,3,1,2,1,47,1,3,14,0,0
5304419,30,5,1,2,0,27,14,5,12,0,0
5445375,52,19,1,2,0,40,28,5,12,1,0
1999104,25,12,1,2,1,26,28,11,14,1,0
4954873,46,19,1,2,0,25,25,5,13,1,0
9768584,52,14,0,2,1,32,28,11,10,1,0
4245438,43,9,1,2,1,40,11,6,11,1,0
800194,33,5,1,2,0,19,2,5,13,0,0
2935149,66,2,1,2,0,24,15,2,10,0,0
8783890,34,9,1,2,0,15,23,4,13,1,0
3049346,26,5,0,2,0,17,10,3,12,1,0
7251288,68,9,1,2,0,30,5,3,13,1,0
2197462,70,5,1,2,0,48,28,5,11,0,0
555482,32,12,1,2,0,7,25,9,11,1,0
8750833,50,19,1,2,0,21,0,11,11,1,0
6894894,27,7,1,2,0,31,14,7,13,0,0
954094,61,15,1,0,0,39,0,6,13,1,0
488193,71,18,1,2,0,20,13,8,10,1,0
9644741,45,2,1,2,0,24,6,2,10,0,0
8382400,76,18,1,2,1,29,0,4,13,1,0
3658679,74,16,1,2,0,33,22,8,14,1,0
675893,46,7,1,2,0,18,11,6,11,1,0
7714126,48,8,1,2,0,9,7,8,11,0,0
6063428,38,6,0,2,0,16,22,6,13,0,0
