Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,changed_profession,Risk_Flag
3643187,77,20,1,2,0,50,11,12,14,1,0
6467283,65,13,1,2,1,2,13,11,12,1,0
2307941,32,18,1,0,0,17,28,13,10,1,0
7681002,25,4,1,2,0,14,14,4,13,0,0
3921208,43,20,1,2,1,23,2,11,12,1,0
5288986,47,3,1,2,0,12,23,3,12,0,0
3559810,32,7,1,2,0,20,2,7,14,0,0
2361934,78,0,0,2,1,0,18,0,12,0,0
5295940,21,20,1,2,0,6,13,4,14,1,0
8262466,46,4,1,2,0,9,19,4,13,0,0
2040616,65,7,1,0,0,41,28,4,10,1,0
6204574,27,12,1,2,0,9,0,5,14,1,0
8755938,42,20,1,2,1,6,5,14,13,1,0
9215706,34,10,1,2,1,18,13,10,14,0,0
7018326,33,20,1,0,1,34,22,4,11,1,0
1089480,64,18,1,2,0,19,5,3,11,1,0
9521305,77,9,1,2,0,15,2,9,13,0,0
7350053,75,12,1,2,0,47,22,11,11,1,0
6565294,56,11,1,2,0,9,28,11,14,0,0
274872,73,9,1,2,0,13,0,5,11,1,0
2699320,27,1,1,2,0,38,11,1,10,0,0
370760,27,16,1,2,0,46,20,12,10,1,0
4950428,49,18,1,2,0,22,23,13,11,1,0
8949796,66,0,1,2,1,36,0,0,12,0,0
9777223,66,8,1,2,0,18,0,8,11,0,0
4749978,65,6,1,1,0,49,0,4,11,1,0
407393,73,16,1,2,0,9,1,10,12,1,0
9199020,63,12,1,2,0,45,20,7,11,1,0
6934016,52,12,1,2,0,36,12,3,13,1,0
3246861,79,2,1,2,1,5,0,2,13,0,0
4254644,77,12,1,2,0,13,23,7,13,1,0
9215706,34,10,1,2,1,18,13,10,14,0,0
7743419,71,15,1,2,0,41,5,14,14,1,0
3092529,49,1,1,2,0,22,12,1,10,0,0
1365106,30,19,1,2,0,0,20,12,12,1,0
8570568,40,6,1,2,0,48,5,6,10,0,0
6979169,60,20,1,2,0,24,20,4,11,1,0
1694660,68,19,0,2,1,27,14,4,11,1,0
2507092,54,17,1,2,1,46,13,7,11,1,0
1020861,42,17,1,2,0,28,13,7,14,1,0
4651030,64,13,1,2,1,14,25,4,10,1,0
9791269,51,7,1,2,0,13,28,6,10,1,0
3917443,27,4,1,2,0,26,19,4,13,0,0
7273528,41,10,1,2,0,47,13,3,11,1,0
3230942,46,18,1,2,0,27,14,12,10,1,0
8503714,38,2,0,2,0,17,14,2,10,0,0
1630476,65,3,1,2,0,8,1,3,10,0,0
933077,40,8,1,2,1,0,25,8,10,0,0
8413290,27,9,1,2,0,38,22,3,10,1,0
2740278,65,4,1,2,0,10,14,4,10,0,0
8123494,22,9,1,2,0,30,28,6,10,1,0
8570568,40,6,1,2,0,48,5,6,10,0,0
9458510,21,8,1,2,0,15,7,8,13,0,0
1975710,42,3,1,2,1,39,13,3,11,0,0
6914829,70,15,1,2,1,23,22,13,13,1,0
6593030,78,15,1,2,0,5,14,11,12,1,0
9035152,56,10,1,2,0,0,28,10,14,0,0
5633671,63,4,0,2,0,25,9,3,11,1,0
4476997,27,15,1,2,0,32,2,7,13,1,0
2212744,64,7,0,2,0,35,25,7,10,0,0
7100378,60,18,1,1,0,10,14,11,11,1,0
5924444,33,1,1,2,0,24,28,1,12,0,0
6820376,31,20,1,2,0,23,14,10,10,1,0
2433481,48,0,1,0,1,6,4,0,14,0,0
955441,79,19,1,2,1,32,20,13,12,1,0
3085012,24,0,1,2,0,5,11,0,10,0,0
